,file,files_cc
390,SyncProducerConfig.cs,0
391,ZKConfig.cs,0
392,ZooKeeperServers.cs,0
393,Broker.cs,0
394,Cluster.cs,0
395,Partition.cs,0
396,ConsumerIterator.cs,0
397,ConsumerIteratorState.cs,0
398,FetchedDataChunk.cs,0
399,Fetcher.cs,0
400,FetcherRunnable.cs,0
401,IConsumer.cs,0
402,IConsumerConnector.cs,0
403,KafkaMessageStream.cs,0
404,PartitionTopicInfo.cs,0
405,TopicCount.cs,0
406,ZookeeperConsumerConnector.cs,0
407,ConsumerTimeoutException.cs,0
408,MessageSizeTooLargeException.cs,0
409,ZKRebalancerException.cs,0
410,ZooKeeperException.cs,0
411,ZooKeeperTimeoutException.cs,0
412,KafkaClientBase.cs,0
413,BoundedBuffer.cs,0
414,BufferedMessageSet.cs,0
415,MessageSet.cs,0
416,AsyncProducer.cs,0
417,AsyncProducerPool.cs,0
418,IAsyncProducer.cs,0
419,ICallbackHandler.cs,0
420,MessageSent.cs,0
421,IProducer.cs,0
422,IProducerPool.cs,0
423,ConfigBrokerPartitionInfo.cs,0
424,DefaultPartitioner.cs,0
425,IBrokerPartitionInfo.cs,0
426,IPartitioner.cs,0
427,ZKBrokerPartitionInfo.cs,0
428,Producer.StrMsg.cs,0
429,ProducerData.cs,0
430,ProducerPool.cs,0
431,ProducerPoolData.cs,0
432,ProducerTypes.cs,0
433,ISyncProducer.cs,0
434,SyncProducer.cs,0
435,SyncProducerPool.cs,0
436,RequestTypes.cs,0
437,DefaultEncoder.cs,0
438,IEncoder.cs,0
439,IWritable.cs,0
440,KafkaBinaryReader.cs,0
441,KafkaBinaryWriter.cs,0
442,StringEncoder.cs,0
443,Crc32Hasher.cs,0
444,ErrorMapping.cs,0
445,Extensions.cs,0
446,Guard.cs,0
447,KafkaScheduler.cs,0
448,ReflectionHelper.cs,0
449,ZKGroupDirs.cs,0
450,ZKGroupTopicDirs.cs,0
451,ZkUtils.cs,0
452,ZooKeeperAwareKafkaClientBase.cs,0
453,ChildChangedEventItem.cs,0
454,DataChangedEventItem.cs,0
455,ZooKeeperChildChangedEventArgs.cs,0
456,ZooKeeperDataChangedEventArgs.cs,0
457,ZooKeeperEventArgs.cs,0
458,ZooKeeperEventTypes.cs,0
459,ZooKeeperSessionCreatedEventArgs.cs,0
460,ZooKeeperStateChangedEventArgs.cs,0
461,IZooKeeperClient.cs,0
462,IZooKeeperConnection.cs,0
463,IZooKeeperSerializer.cs,0
464,BrokerTopicsListener.cs,0
465,IZooKeeperChildListener.cs,0
466,IZooKeeperDataListener.cs,0
467,IZooKeeperStateListener.cs,0
468,ZKRebalancerListener.cs,0
469,ZKSessionExpireListener.cs,0
470,ZooKeeperClient.Watcher.cs,0
471,ZooKeeperClient.cs,0
472,ZooKeeperConnection.cs,0
473,ZooKeeperStringSerializer.cs,0
474,Kafka.FxCop,0
475,App.config,0
476,ConsumerRebalancingTests.cs,0
477,ConsumerTests.cs,0
478,IntegrationFixtureBase.cs,0
479,Log4Net.config,0
480,MockAlwaysZeroPartitioner.cs,0
481,ProducerTests.cs,0
482,TestHelper.cs,0
483,TestMultipleBrokersHelper.cs,0
484,TestsSetup.cs,0
485,ZKBrokerPartitionInfoTests.cs,0
486,ZooKeeperAwareProducerTests.cs,0
487,ZooKeeperClientTests.cs,0
488,ZooKeeperConnectionTests.cs,0
489,MessageSetTests.cs,0
490,PartitioningTests.cs,0
491,ConsumerTopicStat.scala,0
492,kafka-console-producer.sh,0
493,ConsoleProducer.scala,68
494,sbt-launch-0.7.7.jar,0
495,Mx4jLoader.scala,5
496,KEYS,0
497,autoconf.sh,0
498,.rat-excludes,0
499,run-rat.sh,0
500,apache-rat-0.8-SNAPSHOT.jar,0
501,zookeeper-shell.sh,0
502,JmxTool.scala,56
503,payload_codec.go,0
504,producer.properties,0
505,DISCLAIMER,0
506,Logging.scala,0
507,PerfConfig.scala,0
508,ConsumerReblanceFailedException.scala,0
509,mirror_producer1.properties,0
510,mirror_producer2.properties,0
511,mirror_producer3.properties,0
512,server_source4.properties,0
513,server_target3.properties,0
514,RequestChannel.scala,62
515,KafkaApis.scala,715
516,KafkaRequestHandler.scala,49
517,kafka-create-topic.sh,0
518,kafka-delete-topic.sh,0
519,kafka-list-topic.sh,0
520,AdminUtils.scala,41
521,CreateTopicCommand.scala,15
522,DeleteTopicCommand.scala,0
523,ListTopicCommand.scala,27
524,PartitionMetaData.scala,1
525,AdminTest.scala,0
526,TopicMetadata.scala,0
527,TopicMetadataRequest.scala,0
528,KafkaZookeperClient.scala,1
529,TopicMetadataTest.scala,0
530,VerifyConsumerRebalance.scala,0
531,FailedToSendMessageException.scala,0
532,ProducerClosedException.scala,0
533,FetchResponse.scala,0
534,FetchRequestFormatException.scala,0
535,ExportZkOffsets.scala,0
536,ImportZkOffsets.scala,0
537,NoLeaderForPartitionException.scala,0
538,ProducerResponse.scala,0
539,Replica.scala,18
540,LeaderElectionTest.scala,8
541,ReplicaManager.scala,345
542,BlockingChannel.scala,0
543,KafkaStream.scala,0
544,TopicFilter.scala,0
545,MessageAndMetadata.scala,0
546,MirrorMaker.scala,84
547,TopicFilterTest.scala,1
548,server_source_1_1.properties,0
549,server_source_1_2.properties,0
550,server_source_2_1.properties,0
551,server_source_2_2.properties,0
552,server_target_1_1.properties,0
553,server_target_1_2.properties,0
554,whitelisttest_1.consumer.properties,0
555,whitelisttest_2.consumer.properties,0
556,zookeeper_source_1.properties,0
557,zookeeper_source_2.properties,0
558,NoEpochForPartitionException.scala,0
559,StateChangeCommand.scala,0
560,StateChangeCommandHandler.scala,0
561,ZkQueue.scala,0
562,StateChangeTest.scala,0
563,RequestPurgatory.scala,23
564,TestEndToEndLatency.scala,4
565,RequestPurgatoryTest.scala,10
566,zkclient-20120522.jar,0
567,NotLeaderForPartitionException.scala,0
568,UnknownTopicException.scala,0
569,ReplicaFetcherThread.scala,27
570,ISRExpirationTest.scala,12
571,ReplicaFetchTest.scala,7
572,LeaderAndISRRequest.scala,0
573,LeaderAndISRResponse.scala,6
574,OffsetResponse.scala,0
575,RequestOrResponse.scala,0
576,StopReplicaRequest.scala,0
577,StopReplicaResponse.scala,0
578,TopicMetaDataResponse.scala,3
579,ControllerToBrokerRequestTest.scala,0
580,KafkaController.scala,469
581,ControllerBasicTest.scala,0
582,util.sh,0
583,AbstractFetcherManager.scala,32
584,AbstractFetcherThread.scala,136
585,ReplicaFetcherManager.scala,2
586,RequestTimedOutException.scala,0
587,ConsumerFetcherManager.scala,0
588,ConsumerFetcherThread.scala,0
589,KafkaException.scala,0
590,LeaderNotAvailableException.scala,0
591,ReplicaNotAvailableException.scala,0
592,LogRecoveryTest.scala,11
593,HighwaterMarkCheckpoint.scala,11
594,HighwatermarkPersistenceTest.scala,6
595,BrokerNotExistException.scala,0
596,KafkaCSVMetricsReporter.scala,9
597,KafkaMetricsConfig.scala,0
598,KafkaMetricsGroup.scala,15
599,KafkaMetricsReporter.scala,6
600,KafkaTimer.scala,1
601,KafkaTimerTest.scala,4
602,ShutdownableThread.scala,18
603,UnknownTopicOrPartitionException.scala,0
604,README.txt,0
605,__init__.py,0
606,cluster_config.json,0
607,console_consumer.properties,0
608,producer_performance.properties,0
609,replica_basic_test.py,0
610,testcase_1_properties.json,0
611,system_test_env.py,0
612,system_test_runner.py,0
613,kafka_system_test_utils.py,0
614,setup_utils.py,0
615,system_test_utils.py,0
616,testcase_env.py,0
617,RpcDataSerializationTest.scala,8
618,Log4jController.scala,25
619,VerifiableProperties.scala,42
620,metrics.json,0
621,metrics.py,0
622,pyh.py,0
623,TopicNameValidator.scala,6
624,SimpleFetchTest.scala,0
625,LeaderAndIsrRequest.scala,0
626,BrokerNotAvailableException.scala,0
627,PartitionOfflineException.scala,0
628,Topic.scala,0
629,TopicTest.scala,0
630,TopicAndPartition.scala,0
631,StateChangeFailedException.scala,0
632,ControllerChannelManager.scala,117
633,PartitionStateMachine.scala,82
634,ReplicaStateMachine.scala,62
635,LeaderElector.scala,0
636,ZookeeperLeaderElector.scala,0
637,TopicMetadataResponse.scala,0
638,KafkaMigrationTool.java,0
639,KafkaStorageException.scala,0
640,InvalidTopicException.scala,0
641,MessageSizeTooLargeException.scala,0
642,LogSegment.scala,102
643,OffsetIndex.scala,26
644,OffsetPosition.scala,0
645,CompressionFactory.scala,0
646,RequestResponseSerializationTest.scala,0
647,LogSegmentTest.scala,37
648,OffsetIndexTest.scala,28
649,MessageCompressionTest.scala,0
650,metrics-annotation-3.0.0-10ccc80c.jar,0
651,metrics-core-3.0.0-10ccc80c.jar,0
652,logging.conf,0
653,mirror_consumer.properties,0
654,mirror_maker_test.py,13
655,testcase_5001_properties.json,0
656,testcase_0001_properties.json,0
657,testcase_0002_properties.json,0
658,testcase_0003_properties.json,0
659,testcase_0004_properties.json,0
660,testcase_0005_properties.json,0
661,testcase_0006_properties.json,0
662,testcase_0007_properties.json,0
663,testcase_0008_properties.json,0
664,testcase_0009_properties.json,0
665,testcase_0010_properties.json,0
666,testcase_0021_properties.json,0
667,testcase_0022_properties.json,0
668,testcase_0023_properties.json,0
669,testcase_0101_properties.json,0
670,testcase_0102_properties.json,0
671,testcase_0103_properties.json,0
672,testcase_0104_properties.json,0
673,testcase_0105_properties.json,0
674,testcase_0106_properties.json,0
675,testcase_0107_properties.json,0
676,testcase_0108_properties.json,0
677,testcase_0109_properties.json,0
678,testcase_0110_properties.json,0
679,testcase_0111_properties.json,0
680,testcase_0112_properties.json,0
681,testcase_0113_properties.json,0
682,testcase_0114_properties.json,0
683,testcase_0115_properties.json,0
684,testcase_0116_properties.json,0
685,testcase_0117_properties.json,0
686,testcase_0118_properties.json,0
687,testcase_0121_properties.json,0
688,testcase_0122_properties.json,0
689,testcase_0123_properties.json,0
690,run_sanity.sh,0
691,testcase_to_run.json,0
692,testcase_to_run_sanity.json,0
693,testcase_to_skip.json,0
694,replication_utils.py,0
